route_short_name,route_long_name,route_type,route_id
,108DOWN,3,0
,108STLDOWN,3,1
,108STLUp,3,2
,108UP,3,3
,185DOWN,3,4
,185LnkSTLDown,3,5
,185LnkSTLUp,3,6
,185STLDOWN,3,7
,185STLUP,3,8
,185UP,3,9
,234CL_DOWN,3,10
,234CL_UP,3,11
,262DOWN,3,12
,262LinkSTLDown,3,13
,262LinkSTLUP,3,14
,262UP,3,15
,78DOWN,3,16
,78STLDOWN,3,17
,78STLUP,3,18
,78UP,3,19
,7LnkSTLDown,3,20
,7LnkSTLUp,3,21
,813CLDown,3,22
,813CLUP,3,23
,813LnkSTLDown,3,24
,813LnkSTLUp,3,25
,937ADOWN,3,26
,937AUP,3,27
,982LnkSTLDown,3,28
,982LnkSTLUp,3,29
,185LSTL2Down,3,30
,185LSTL2Up,3,31
,185LSTLDown,3,32
,185LSTLUp,3,33
,206ADown,3,34
,206AUp,3,35
,211DOWN,3,36
,211UP,3,37
,253DOWN,3,38
,253UP,3,39
,258DOWN,3,40
,258STLDown,3,41
,258STLUp,3,42
,258UP,3,43
,348Down,3,44
,348Up,3,45
,971LnkSTLDown,3,46
,971LnkSTLUp,3,47
,578ADown,3,48
,578AUp,3,49
,578DOWN,3,50
,578LSTLDown,3,51
,578LSTLUp,3,52
,578UP,3,53
,708_Down,3,54
,708_Up,3,55
,708ADown,3,56
,708AUp,3,57
,719ADOWN,3,58
,719AUP,3,59
,719DOWN,3,60
,719STLDown,3,61
,719STLUp,3,62
,719UP,3,63
,720DOWN,3,64
,720UP,3,65
,723Down,3,66
,723Up,3,67
,743ADown,3,68
,743ASTLUp,3,69
,743AUp,3,70
,743Down,3,71
,743STLDown,3,72
,743STLUp,3,73
,743Up,3,74
,745ADown,3,75
,745DOWN,3,76
,745EUp,3,77
,745STLDown,3,78
,745STLUp,3,79
,745UP,3,80
,753DOWN,3,81
,753UP,3,82
,764DOWN,3,83
,764MPSTLDown,3,84
,764MPSTLUp,3,85
,764MVSTLDown,3,86
,764MVSTLUp,3,87
,764SDown,3,88
,764SUp,3,89
,764UP,3,90
,770ADOWN,3,91
,770ALTDDown,3,92
,770ALTDUp,3,93
,770AUp,3,94
,770BDown,3,95
,770BUp,3,96
,774Down,3,97
,774STLDown,3,98
,774STLUp,3,99
,774Up,3,100
,775ADown,3,101
,775AUp,3,102
,778DOWN,3,103
,778UP,3,104
,790+825Up,3,105
,790+876UP,3,106
,790ADOWN,3,107
,790AUP,3,108
,790BDown,3,109
,790BUp,3,110
,790DOWN,3,111
,790UP,3,112
,824SSTLDown,3,113
,824SSTLUp,3,114
,824STLDown,3,115
,824STLUp,3,116
,825+790Down,3,117
,825STLDown,3,118
,825STLUp,3,119
,836AUp,3,120
,836DOWN,3,121
,836LSTLDown,3,122
,836LSTLUp,3,123
,836STLDown,3,124
,836STLUP,3,125
,836UP,3,126
,838ADown,3,127
,838DOWN,3,128
,838UP,3,129
,840Down,3,130
,840STLDown,3,131
,840STLUP,3,132
,840Up,3,133
,876+790Down,3,134
,876STLDOWN,3,135
,876STLUP,3,136
,878_Down,3,137
,878_Up,3,138
,878+578LTD_Down,3,139
,878+578LTD_Up,3,140
,878STLDown,3,141
,878STLUp,3,142
,891DOWN,3,143
,891STLDown,3,144
,891STLUp,3,145
,891UP,3,146
,893DOWN,3,147
,893UP,3,148
,911ADown,3,149
,911AUp,3,150
,978STLDown,3,151
,LTD_Up,3,152
,239Down,3,153
,239Up,3,154
,311ADown,3,155
,311AUp,3,156
,336ADown,3,157
,336AUp,3,158
,33LnkSTLDown,3,159
,33LnkSTLUp,3,160
,33LSTLDown,3,161
,33LSTLUp,3,162
,534DOWN,3,163
,534UP,3,164
,543ADown,3,165
,543AUp,3,166
,611BDOWN,3,167
,611BUP,3,168
,611DOWN,3,169
,611UP,3,170
,623DOWN,3,171
,623EXT UP,3,172
,623EXTDN,3,173
,623UP,3,174
,GL23Down,3,175
,GL23Up,3,176
,578STLDOWN,3,177
,578STLUP,3,178
,588DOWN,3,179
,588UP,3,180
,711DOWN,3,181
,711UP,3,182
,712Down,3,183
,712Up,3,184
,724DOWN,3,185
,724EXTUP,3,186
,724UP,3,187
,728ADown,3,188
,728AUp,3,189
,728EDown,3,190
,728EUp,3,191
,728STLUp,3,192
,729DOWN,3,193
,729UP,3,194
,740ExtDOWN,3,195
,740ExtUP,3,196
,761DOWN,3,197
,761UP,3,198
,764LinkstlDN,3,199
,764LnkSTLUp,3,200
,807ADown,3,201
,807AUp,3,202
,808Down,3,203
,808UP,3,204
,810DOWN,3,205
,810UP,3,206
,816ADOWN,3,207
,816AUP,3,208
,816Down,3,209
,816ExtDown,3,210
,816Up,3,211
,817ADown,3,212
,817AUp,3,213
,817BDown,3,214
,817BUp,3,215
,817Down,3,216
,817LnkSTLDown,3,217
,817LnkSTLUp,3,218
,817Up,3,219
,824LnkSTLDown,3,220
,824LnkSTLUp,3,221
,827LnkSTLUp,3,222
,827STLDown,3,223
,827STLUp,3,224
,832DOWN,3,225
,832LinkSTLDOWN,3,226
,832LinkSTLUP,3,227
,832UP,3,228
,833ADown,3,229
,833AUp,3,230
,833LnkSTLDown,3,231
